緯度情報,経度情報,愛工大からの距離,データ名
34.9294920585,137.0650327206,0.2584188839,産直センター「道の駅」デンパーク安城
34.9727135665,136.9626367092,0.2588737831,東浦町郷土資料館「うのはな館」
35.0117951572,137.3068718794,0.2588869836,合資会社柴田酒造場
35.2827392136,136.8719459478,0.2607548922,岩倉野菜の広場
35.2211729300,136.8545707138,0.2612149054,朝日貝塚（検見塚）
34.9341712194,137.0343982399,0.2613539586,榎前のクロガネモチ
35.3855893385,136.9473353322,0.2614082286,妙感寺古墳
34.9391935987,137.2067284584,0.2615719718,愛知県畜産総合センター
35.0221243387,136.9068360329,0.2617912027,東海市立農業センター
35.0221287318,136.9068038464,0.2618138497,東海市立農業センター
34.9223897621,137.0872052989,0.2622980043,ＪＡあいち中央　産直センター安城桜井
35.3901208154,136.9508786137,0.2627268222,東之宮古墳
35.3808627712,136.9395160675,0.2628648752,犬山どんでん朝市
35.2177859317,136.8515074253,0.2637836896,【尾張】朝日遺跡
35.2186587653,136.8514167553,0.2639887057,貝殻山貝塚
35.1031701733,136.8602205306,0.2652497458,荒子川公園ガーデンプラザ
35.2449802000,136.8547212585,0.2655563452,グリーン西春日井
35.3591846883,136.9139115375,0.2656103705,ふれあい青空市（扶桑町）
34.9357501379,137.2095564928,0.2658036185,神明宮第一号古墳
35.2744780531,136.8630062410,0.2661030258,大地遺跡
35.2466354899,136.8545007706,0.2661591629,【尾張】西春日井の伝統文化
35.2772927421,136.8638971266,0.2662455151,産直センター岩倉店
35.3918705773,136.9464486847,0.2668486358,木曽川
35.0231259561,136.8990790844,0.2673420402,【知多】弥勒寺
34.9160944829,137.1296525002,0.2678332950,ふれあいドーム岡崎
34.9160812866,137.1295773983,0.2678418189,【西三河】ふれあいドーム岡崎
35.3876684977,136.9393340130,0.2681325514,犬山城跡
34.9155075460,137.0954857290,0.2684792781,姫小川古墳
35.3861646026,136.9367557091,0.2686733293,犬山頭首工
34.9436481827,136.9915777445,0.2687756036,【西三河】吉浜細工人形
35.1795919175,136.8417630618,0.2713057364,下萱津のフジ
35.0195587365,136.8965792656,0.2714848607,【知多】観福寺
35.1887007198,137.3852150737,0.2722245487,伊熊神社の社叢
34.9138959565,137.1532055889,0.2724924355,太夫塚古墳
35.1975886444,137.3855352402,0.2728618552,【豊田加茂】押井磨崖物
35.1976587826,137.3855566978,0.2728869366,押井磨崖仏（おしいまがいぶつ）
35.1937616392,136.8399149179,0.2733229943,【海部】香の物祭
35.2162958522,136.8412935734,0.2737306844,清須の自然と歴史
35.2164711571,136.8411970139,0.2738476525,清須の自然と歴史
35.2169809703,136.8407793252,0.2743242096,五条川の桜（清須）
35.0669425174,137.3635973055,0.2763027293,もみじ街道（加茂広域農道）
35.2429904256,137.3836147785,0.2770545931,時瀬大いちょう
35.2431087175,137.3836040497,0.2770695780,時瀬大いちょう
35.2432135907,137.3836361172,0.2771235044,時瀬のイチョウ
35.2373122105,136.8411433697,0.2771895054,五条川の桜
34.9280387283,137.0028293612,0.2781409961,JAあいち中央　産直センター高浜
35.2985001924,136.8590901164,0.2788131173,一宮桜まつり（青木川）
34.9373013359,137.2445331941,0.2790349760,岡崎ゲンジボタル発生地
35.1163499672,137.3852455616,0.2803429622,鼎（かなえ）工房
35.1161963864,137.3852401972,0.2803745327,鼎工房
35.0153499202,136.8847990036,0.2834426744,東海フラワーショウ
35.0768087358,137.3760187626,0.2837624514,三河高原
35.0768614176,137.3761796951,0.2838918253,三河高原
34.9002480156,137.0853336381,0.2845166130,本證寺境内
34.9001487054,137.0851148932,0.2846368302,本證寺のイブキ
34.9157696166,137.2120967619,0.2853846845,藤川の松並木
35.2052264592,137.3985156783,0.2863060251,八幡のサクライソウ及びツクバネ自生地
35.0727345793,136.8489432335,0.2863523029,藤前干潟
35.0726731142,136.8489539623,0.2863661711,藤前干潟
35.1972379013,137.3994483940,0.2867400038,つくば工房
35.3751417375,136.8998193741,0.2867473820,木曽川扶桑緑地公園
34.9859173015,137.3210442066,0.2868260701,日近の里・かおれ渓谷
35.3749580278,136.8995296955,0.2868401395,木曽川扶桑緑地公園
34.9850558711,137.3209905624,0.2873810700,日近の里・かおれ渓谷
35.2012094479,136.8246960640,0.2888945537,いきいき朝市甚目寺
35.0293341208,137.3575123187,0.2889737706,【豊田加茂】羽左の窪
